Date,Month,Store Visits,Marketing_Spend,Discount_Percentage,Competitor_Price_Index,Sales_Revenue
26-11-2025,2025-11,11157,281606,6.6,100.7,1436870
27-11-2025,2025-11,11374,277016,0.2,98.6,1436754
28-11-2025,2025-11,11345,84478,11.6,90.5,1204872
29-11-2025,2025-11,9434,218140,1.4,103.7,1515566
30-11-2025,2025-11,9581,186134,1.4,99.6,1519072
01-12-2025,2025-12,8842,119474,10.7,102,1054393
02-12-2025,2025-12,11467,268980,6.6,98.7,1425626
03-12-2025,2025-12,7814,134447,6,103.7,1086377
04-12-2025,2025-12,7953,85326,6.5,99.9,1000000
05-12-2025,2025-12,9541,105932,6.3,92.2,1000000
06-12-2025,2025-12,10585,222106,8.7,97,1549506
07-12-2025,2025-12,11122,290455,1.3,102.4,1900000
08-12-2025,2025-12,9296,117169,4.9,102.3,1000000
09-12-2025,2025-12,10941,267359,0.1,91.9,1305531
10-12-2025,2025-12,7273,173146,0.8,95.7,1000000
11-12-2025,2025-12,9906,133488,0.4,94.4,1000000
12-12-2025,2025-12,8528,81214,7.6,99.1,1000000
13-12-2025,2025-12,8368,125868,9.2,104,1685894
14-12-2025,2025-12,8259,257219,11.2,98.5,1225658
15-12-2025,2025-12,8584,115542,1.8,102.4,1000000
16-12-2025,2025-12,7403,157341,7.4,104.5,1031302
17-12-2025,2025-12,9809,98597,0.3,101.4,1382334
18-12-2025,2025-12,8670,198589,4.6,96.2,1690374
19-12-2025,2025-12,10044,268306,11.8,99.1,1675160
20-12-2025,2025-12,7526,168057,9.3,98.1,1000000
21-12-2025,2025-12,10616,101050,2.2,98.5,1683123
22-12-2025,2025-12,9839,146833,8.6,91.5,1000000
23-12-2025,2025-12,7420,197605,6.3,103.7,1508119
24-12-2025,2025-12,10501,137711,6,97.6,1110138
25-12-2025,2025-12,9152,90957,12,100.3,1000000
26-12-2025,2025-12,10554,221896,8.5,93.6,1701968
27-12-2025,2025-12,8141,176540,6.1,97.4,1286246
28-12-2025,2025-12,10726,299228,8.1,103.1,1418104
29-12-2025,2025-12,9654,181995,8.9,94.8,1571736
30-12-2025,2025-12,9071,213157,2.1,90,1739400
31-12-2025,2025-12,9466,157458,5.6,96.2,1015530
01-01-2026,2026-01,9925,161931,4.2,104.7,1816136
02-01-2026,2026-01,10245,240784,8.7,90.3,1292944
03-01-2026,2026-01,10992,246787,3.1,102.9,1396181
04-01-2026,2026-01,10022,260530,0.6,92.5,1382616
05-01-2026,2026-01,7347,253487,1.2,98.4,1326293
06-01-2026,2026-01,9174,292882,4.1,95.9,1900000
07-01-2026,2026-01,9834,281587,4.5,99.9,1743285
08-01-2026,2026-01,8999,229484,6.2,101,1315777
09-01-2026,2026-01,10551,181225,5.1,92.4,1090362
10-01-2026,2026-01,9632,270338,3.3,91.6,1287615
11-01-2026,2026-01,11437,234452,11.8,94.1,1900000
12-01-2026,2026-01,7286,117078,6.9,92.8,1299934
13-01-2026,2026-01,7699,184183,5.8,94.9,1092425
14-01-2026,2026-01,8598,197226,11.7,97.9,1841690
15-01-2026,2026-01,7497,204069,0.1,104.1,1359740
16-01-2026,2026-01,8375,116117,2.6,98.4,1332746
17-01-2026,2026-01,11156,159650,0.3,93,1143835
18-01-2026,2026-01,7614,263974,3.5,92.1,1763148
19-01-2026,2026-01,8003,239533,1,96.5,1136210
20-01-2026,2026-01,8220,226947,2.2,100.3,1495680
21-01-2026,2026-01,10897,238270,1.4,100.7,1870443
22-01-2026,2026-01,7297,298901,10.3,104.1,1900000
23-01-2026,2026-01,8912,239969,11.2,102.1,1126585
24-01-2026,2026-01,10880,202918,7.5,104.5,1730355
25-01-2026,2026-01,11435,187262,7.2,101.6,1433027
26-01-2026,2026-01,10538,113537,2.9,92.3,1725912
27-01-2026,2026-01,10556,110923,9.7,97.8,1000000
28-01-2026,2026-01,9548,205220,0.4,91.3,1055440
29-01-2026,2026-01,10361,164911,1.8,104.7,1146616
30-01-2026,2026-01,7676,276035,10.9,104.8,1668356
31-01-2026,2026-01,7477,147523,5.9,102.7,1426003
01-02-2026,2026-02,10431,292604,6.2,96.2,1342366
02-02-2026,2026-02,9392,140780,11.7,96.2,1464629
03-02-2026,2026-02,11388,206360,1.6,91.8,1899896
04-02-2026,2026-02,10592,257767,2.5,91.8,1900000
05-02-2026,2026-02,10621,297329,11.7,90.4,1402102
06-02-2026,2026-02,7825,256032,7.4,104.7,1360197
07-02-2026,2026-02,8168,298331,8,101.5,1797507
08-02-2026,2026-02,7451,96612,0.6,98.6,1236196
09-02-2026,2026-02,8557,108941,2.5,90.2,1000000
10-02-2026,2026-02,10133,147196,6.6,90.3,1684081
11-02-2026,2026-02,7801,203249,1.2,103.5,1677716
12-02-2026,2026-02,11055,119450,5.9,95.3,1000000
13-02-2026,2026-02,7337,242527,0.8,97.3,1551198
14-02-2026,2026-02,10833,191807,11.8,94.1,1195402
15-02-2026,2026-02,8966,297676,8.6,103,1610141
16-02-2026,2026-02,10802,270507,4.3,92.5,1892834
17-02-2026,2026-02,8173,223987,11.2,104.8,1771561
18-02-2026,2026-02,9269,197255,4.8,97.1,1629070
19-02-2026,2026-02,8906,105393,7.6,99.3,1342440
20-02-2026,2026-02,10608,180321,4.6,102.6,1480258
21-02-2026,2026-02,11113,265016,4.7,103.1,1900000
22-02-2026,2026-02,7621,121138,9.9,96.6,1312726
23-02-2026,2026-02,7717,223655,8.4,103,1179725
24-02-2026,2026-02,8844,90379,9.7,103.6,1423621
25-02-2026,2026-02,9455,247341,2.5,92.5,1259352
26-02-2026,2026-02,8233,157166,5.9,101.4,1628949
27-02-2026,2026-02,10560,269220,4.4,98.8,1303421
28-02-2026,2026-02,8351,126754,6,93.8,1072637
01-03-2026,2026-03,11202,175630,3.4,101.3,1558858
02-03-2026,2026-03,10301,265530,4.6,91.5,1900000
03-03-2026,2026-03,8423,96940,5.1,94.8,1584366
04-03-2026,2026-03,8568,269679,11.7,103.4,1662645
05-03-2026,2026-03,9951,247186,0.2,105,1198885
06-03-2026,2026-03,9431,250578,10.8,101.4,1455062
07-03-2026,2026-03,10255,122959,5.2,99.9,1163674
08-03-2026,2026-03,8191,133813,5.4,91.7,1615453
09-03-2026,2026-03,9487,110712,0.6,98.3,1477612
10-03-2026,2026-03,9448,141123,5.4,101.5,1007872
11-03-2026,2026-03,7205,189423,4.1,101,1580460
12-03-2026,2026-03,11351,186635,5.4,103.1,1649182
13-03-2026,2026-03,9185,159597,5.8,101.6,1107897
14-03-2026,2026-03,8247,192953,9.9,100.6,1777857
15-03-2026,2026-03,7518,197689,7.7,98.5,1145518
16-03-2026,2026-03,9934,232262,4.5,97.7,1225310
17-03-2026,2026-03,9044,245243,3.4,93.4,1365220
18-03-2026,2026-03,9553,198697,7.9,96.8,1297745
19-03-2026,2026-03,8117,231964,6,96.7,1415668
20-03-2026,2026-03,8733,145047,5.7,93.6,1451526
21-03-2026,2026-03,7302,89115,4.3,93.4,1170642
22-03-2026,2026-03,9770,80722,11.5,104.7,1404885
23-03-2026,2026-03,7673,135464,0.9,103.7,1554328
24-03-2026,2026-03,11371,210699,7.6,98.7,1715675
25-03-2026,2026-03,9778,182782,3.7,104.8,1020243
26-03-2026,2026-03,11134,157363,0.5,101.5,1341632
27-03-2026,2026-03,8905,84076,6.7,97.8,1000000
28-03-2026,2026-03,10035,173433,9.1,91.1,1272547
29-03-2026,2026-03,8177,165736,10.9,99,1000000
30-03-2026,2026-03,7752,210958,9.6,92.6,1333720
31-03-2026,2026-03,10175,143733,10.1,101.7,1000000
01-04-2026,2026-04,9247,141905,8.5,103.2,1000000
02-04-2026,2026-04,9998,289020,9.8,97.6,1857050
03-04-2026,2026-04,8127,290222,11.2,98.9,1314197
04-04-2026,2026-04,11111,143755,2.1,95.9,1371033
05-04-2026,2026-04,9153,234142,1.1,90.8,1313415
06-04-2026,2026-04,9510,267601,6.5,96.6,1720182
07-04-2026,2026-04,8439,250930,0.5,103.4,1171148
08-04-2026,2026-04,7453,134310,5.2,101.4,1058232
09-04-2026,2026-04,10941,137528,5,92.8,1049055
10-04-2026,2026-04,10641,168644,6.2,95.3,1101716
11-04-2026,2026-04,11112,258761,2.6,101.6,1850688
12-04-2026,2026-04,8576,169509,10.9,98.5,1007776
13-04-2026,2026-04,11226,119145,3.1,98.8,1247982
14-04-2026,2026-04,10819,156096,4.1,97.2,1335195
15-04-2026,2026-04,8809,81674,11.1,100.4,1158179
16-04-2026,2026-04,8231,263553,11.9,100.2,1693236
17-04-2026,2026-04,11188,135213,3.6,102.7,1051745
18-04-2026,2026-04,8495,179797,0.8,97.2,1191641
19-04-2026,2026-04,10284,229836,3.8,97,1900000
20-04-2026,2026-04,11429,196841,4.2,91.9,1900000
21-04-2026,2026-04,9939,240855,2.8,90.4,1519846
22-04-2026,2026-04,7484,214020,0.2,99.2,1000000
23-04-2026,2026-04,7308,241906,1.4,101.8,1122643
24-04-2026,2026-04,7743,124484,4.8,94.1,1000000
25-04-2026,2026-04,8773,102967,12,90.5,1000000
26-04-2026,2026-04,11040,92664,11.7,94.4,1273973
27-04-2026,2026-04,7253,81860,7.9,91.5,1307344
28-04-2026,2026-04,10460,259953,2.3,92.6,1900000
29-04-2026,2026-04,7533,185276,3.5,103.1,1557652
30-04-2026,2026-04,8669,148261,10.3,95.6,1237789
01-05-2026,2026-05,7380,95198,4,100,1000000
02-05-2026,2026-05,8648,259653,5.2,93.4,1679159
03-05-2026,2026-05,9513,149950,2.8,104.7,1792832
04-05-2026,2026-05,8729,227915,3.6,103.2,1859181
05-05-2026,2026-05,8719,177947,2.2,94.5,1453895
06-05-2026,2026-05,10448,274383,4.3,100,1900000
07-05-2026,2026-05,10902,179560,8.7,91.2,1157902
08-05-2026,2026-05,9311,208618,0.3,90.2,1322669
09-05-2026,2026-05,8706,102699,5.1,95.4,1058558
10-05-2026,2026-05,10233,232872,8.6,99.8,1323160
11-05-2026,2026-05,8329,295711,7,92.1,1900000
12-05-2026,2026-05,9657,101422,10.5,98.7,1277169
13-05-2026,2026-05,10240,244490,0.8,90.7,1753434
14-05-2026,2026-05,9665,291003,7.1,92.9,1420972
15-05-2026,2026-05,8188,236702,9.5,95.9,1139844
16-05-2026,2026-05,10120,202982,7.6,100.2,1740285
17-05-2026,2026-05,7836,89344,3.5,93.4,1083224
18-05-2026,2026-05,9803,193071,1.3,95.6,1481519
19-05-2026,2026-05,10369,264397,11.2,94.6,1900000
20-05-2026,2026-05,7596,85608,4.8,104.7,1000000
21-05-2026,2026-05,9452,128468,4.7,100.6,1483476
22-05-2026,2026-05,10703,156589,5.7,101.4,1540650
23-05-2026,2026-05,7510,249769,1.9,96.6,1627030
24-05-2026,2026-05,8874,293978,8.2,90.4,1860615
25-05-2026,2026-05,10951,99445,3.2,93.3,1284145
26-05-2026,2026-05,7499,119294,6,92.5,1000000
27-05-2026,2026-05,10055,290098,11.1,97.7,1889891
28-05-2026,2026-05,7807,234004,10.8,93.3,1102527
29-05-2026,2026-05,10747,238813,10.1,101.1,1429416
30-05-2026,2026-05,10949,213316,1.8,103.8,1304384
31-05-2026,2026-05,9079,198361,3.1,103.1,1216175
01-06-2026,2026-06,7674,95816,4.1,99.5,1130397
02-06-2026,2026-06,9099,251429,1.4,94.1,1900000
03-06-2026,2026-06,11197,110736,10.9,104.4,1664175
04-06-2026,2026-06,8671,230452,5,96.6,1844960
05-06-2026,2026-06,9437,157438,7.1,94.9,1065399
06-06-2026,2026-06,11167,277196,4.1,101.5,1900000
07-06-2026,2026-06,8394,80365,7.2,103,1026446
08-06-2026,2026-06,10560,133395,5.9,103.6,1309943
09-06-2026,2026-06,9085,201786,9.3,99.6,1677231
10-06-2026,2026-06,11470,199115,10.5,96.7,1248559
11-06-2026,2026-06,9682,110826,3.3,102.1,1193856
12-06-2026,2026-06,9220,241024,7.6,101.3,1291839
13-06-2026,2026-06,9601,169582,12,100.8,1675975
14-06-2026,2026-06,10990,94150,0.2,98.6,1213011
15-06-2026,2026-06,10034,263823,6,99.2,1510100
16-06-2026,2026-06,10452,245293,2.5,92.7,1694764
17-06-2026,2026-06,8138,163294,1.6,94.7,1488284
18-06-2026,2026-06,8101,150994,5.8,104.8,1299612
19-06-2026,2026-06,10380,95143,5,95.4,1319293
20-06-2026,2026-06,9990,118825,2.7,92.3,1031775
21-06-2026,2026-06,9011,95583,8.9,104.2,1542995
22-06-2026,2026-06,10010,178062,3.6,100.9,1811835
23-06-2026,2026-06,7351,163922,2.9,101.9,1014839
24-06-2026,2026-06,7841,209311,9.4,101.7,1120360
25-06-2026,2026-06,8954,113760,7.2,104.3,1292035
26-06-2026,2026-06,7540,174823,5.2,93.4,1695085
27-06-2026,2026-06,10776,216167,7.4,98,1278145
28-06-2026,2026-06,7265,193537,4.6,93.4,1324371
29-06-2026,2026-06,9460,96010,9.7,102.7,1507554
30-06-2026,2026-06,10341,273425,7,104.4,1900000
01-07-2026,2026-07,7870,140364,11.8,100,1602870
02-07-2026,2026-07,10543,247268,10.4,102.5,1432971
03-07-2026,2026-07,7730,81754,0.5,95.8,1000000
04-07-2026,2026-07,11006,216813,11.5,103.8,1900000
05-07-2026,2026-07,11070,264444,11.5,104.5,1334406
06-07-2026,2026-07,10366,199206,6.7,103.7,1434713
07-07-2026,2026-07,8792,268900,5.2,103.1,1528562
08-07-2026,2026-07,11131,172620,5.4,92.9,1265578
09-07-2026,2026-07,8564,246651,9.5,97.2,1433026
10-07-2026,2026-07,8963,235297,6.9,100.4,1559709
11-07-2026,2026-07,7202,241583,2.4,95.9,1557329
12-07-2026,2026-07,7901,100613,8.8,101.7,1068648
13-07-2026,2026-07,8144,113943,9.4,102,1000000
14-07-2026,2026-07,9503,213722,6,96.7,1115628
15-07-2026,2026-07,10282,221773,11.6,102,1660162
16-07-2026,2026-07,7858,143813,1.8,100,1000000
17-07-2026,2026-07,9767,197805,1.7,101.8,1691647
18-07-2026,2026-07,10303,199192,8.4,91.6,1079504
19-07-2026,2026-07,8595,81929,1.6,104.3,1006936
20-07-2026,2026-07,7241,241576,0.3,103.9,1898516
21-07-2026,2026-07,9619,166243,11.7,94.2,1786987
22-07-2026,2026-07,7436,251049,2.3,98.3,1756198
23-07-2026,2026-07,9821,188594,8.2,93.1,1900000
24-07-2026,2026-07,11287,182178,6.8,90.7,1810637
25-07-2026,2026-07,9936,252161,11.8,100,1406510
26-07-2026,2026-07,7602,207148,5.6,104.2,1000000
27-07-2026,2026-07,8979,144273,8.7,98.8,1395294
28-07-2026,2026-07,11408,253689,3.9,97.6,1293221
29-07-2026,2026-07,8268,205496,6.6,100.7,1417075
30-07-2026,2026-07,11434,223993,3.2,95.1,1900000
31-07-2026,2026-07,9161,99422,3.3,97.3,1324361
01-08-2026,2026-08,7999,291012,6.7,91.6,1372755
02-08-2026,2026-08,7810,269949,6.1,99.6,1218485
03-08-2026,2026-08,9164,287517,1.2,101.6,1545794
04-08-2026,2026-08,10550,123183,7,101.9,1000000
05-08-2026,2026-08,8198,134897,1.9,104.9,1686192
06-08-2026,2026-08,8568,189778,10.4,101.9,1374229
07-08-2026,2026-08,9060,101160,11.1,98.7,1000000
08-08-2026,2026-08,9227,264504,9.8,90.7,1835371
09-08-2026,2026-08,10599,104433,9.8,95.6,1067857
10-08-2026,2026-08,8883,287759,0.2,102.7,1869399
11-08-2026,2026-08,8098,246460,4.2,95.6,1298417
12-08-2026,2026-08,8464,92834,7.2,92.2,1554303
13-08-2026,2026-08,9167,280068,8.6,94.6,1278553
14-08-2026,2026-08,7595,143509,0.5,104.8,1608454
15-08-2026,2026-08,10414,273939,6.8,92.7,1590585
16-08-2026,2026-08,7332,253942,7.2,93.5,1491752
17-08-2026,2026-08,11243,159710,7.3,90.7,1542543
18-08-2026,2026-08,9676,118141,5.5,97.2,1507836
19-08-2026,2026-08,7561,147860,11.2,90,1706136
20-08-2026,2026-08,8481,167884,11.9,99.2,1168343
21-08-2026,2026-08,10228,193087,7.4,95.4,1790254
22-08-2026,2026-08,11337,80384,8.2,99.8,1337348
23-08-2026,2026-08,10117,172189,0.2,99.8,1392705
24-08-2026,2026-08,10517,203873,8.1,98.9,1801420
25-08-2026,2026-08,10609,127090,2.7,90.3,1787537
26-08-2026,2026-08,11351,194016,9.4,91,1685619
27-08-2026,2026-08,10997,142208,3.9,97.9,1732625
28-08-2026,2026-08,8944,215401,5.2,95,1063494
29-08-2026,2026-08,10752,168773,6.1,95.4,1661792
30-08-2026,2026-08,10960,200354,1,101.9,1592428
31-08-2026,2026-08,8330,197433,1,91.2,1000000
01-09-2026,2026-09,7868,189800,10.3,96.8,1653285
02-09-2026,2026-09,9659,88054,7.9,92.8,1000000
03-09-2026,2026-09,7889,103049,6,98,1331191
04-09-2026,2026-09,10998,118887,5.7,90.1,1343595
05-09-2026,2026-09,8647,247679,4.7,95.6,1467141
06-09-2026,2026-09,7283,228955,8.7,98.5,1063024
07-09-2026,2026-09,8016,252905,6.7,92.4,1415241
08-09-2026,2026-09,9479,255826,5.4,99,1511231
09-09-2026,2026-09,10048,162283,3,101.8,1680844
10-09-2026,2026-09,8209,133626,4.1,103.4,1121040
11-09-2026,2026-09,11454,232734,1.7,103.9,1797598
12-09-2026,2026-09,10910,87408,7.1,96.5,1410181
13-09-2026,2026-09,8962,229364,0.3,96.9,1882636
14-09-2026,2026-09,11290,299451,10.6,104.1,1900000
15-09-2026,2026-09,8846,290808,1.9,104.5,1333257
16-09-2026,2026-09,8569,140587,7.3,96.6,1340322
17-09-2026,2026-09,9462,196938,11.4,93.2,1822226
18-09-2026,2026-09,11073,229599,9.1,99.7,1695836
19-09-2026,2026-09,10045,284047,8.6,95.8,1802729
20-09-2026,2026-09,7233,240896,8.6,96.2,1552227
21-09-2026,2026-09,10415,260126,3.3,101.3,1709638
22-09-2026,2026-09,7546,271491,7.3,96.5,1381300
23-09-2026,2026-09,10475,243307,2.1,101.2,1611764
24-09-2026,2026-09,8933,288773,8.8,104.6,1900000
25-09-2026,2026-09,10849,131608,5.9,93.4,1002276
26-09-2026,2026-09,9661,220706,10,102.4,1337122
27-09-2026,2026-09,8173,155371,10.7,104,1202511
28-09-2026,2026-09,10088,168831,4.8,100.4,1731977
29-09-2026,2026-09,10451,233334,3.4,96.3,1900000
30-09-2026,2026-09,11136,152739,2,97.9,1362691
01-10-2026,2026-10,9533,230935,4.5,102.5,1492964
02-10-2026,2026-10,10915,143562,11.8,104.7,1269821
03-10-2026,2026-10,7556,168666,9.4,93.6,1136222
04-10-2026,2026-10,8569,124985,2.3,103.1,1423714
05-10-2026,2026-10,7611,244747,8.1,104.7,1149482
06-10-2026,2026-10,9124,281586,0.7,102.9,1404931
07-10-2026,2026-10,10007,93597,2,91.6,1630007
08-10-2026,2026-10,11497,126489,2,102.4,1111374
09-10-2026,2026-10,8697,95774,3.3,91.4,1545065
10-10-2026,2026-10,9736,185337,7,100.9,1887800
11-10-2026,2026-10,9085,211399,3.3,104.6,1679921
12-10-2026,2026-10,9411,164406,11.5,93.5,1251731
13-10-2026,2026-10,8083,216225,8.3,95.2,1459472
14-10-2026,2026-10,9820,101868,7.6,96.1,1378090
15-10-2026,2026-10,10270,107140,5.2,101.8,1653248
16-10-2026,2026-10,7300,183197,0.2,101.7,1721513
17-10-2026,2026-10,9877,104840,1.5,97.3,1588029
18-10-2026,2026-10,10766,286225,9.2,104,1900000
19-10-2026,2026-10,9018,238364,3.2,96.1,1110732
20-10-2026,2026-10,9895,217232,8.1,98.9,1376366
21-10-2026,2026-10,7999,235564,10.3,104.7,1112569
22-10-2026,2026-10,8049,272431,9.5,92.4,1237341
23-10-2026,2026-10,7731,93865,11.9,103.1,1542815
24-10-2026,2026-10,7706,202423,10.1,96.7,1507611
25-10-2026,2026-10,10770,201581,9.9,101.2,1255478
26-10-2026,2026-10,7824,141491,10.3,95.5,1700802
27-10-2026,2026-10,11138,198249,5.9,102.8,1258794
28-10-2026,2026-10,7850,256277,4.5,102.7,1865862
29-10-2026,2026-10,10767,269457,7.4,96.2,1584940
30-10-2026,2026-10,8689,203313,2.4,98.1,1275026
31-10-2026,2026-10,7453,288523,2.9,98.7,1205203
01-11-2026,2026-11,10130,126398,7.2,101.5,1417439
02-11-2026,2026-11,7609,255427,10.6,92.4,1648392
03-11-2026,2026-11,10727,278321,5.5,93.9,1900000
04-11-2026,2026-11,9834,212447,0.4,97.8,1889028
05-11-2026,2026-11,10147,228802,4,101,1331151
06-11-2026,2026-11,10734,277382,10.3,92.3,1403554
07-11-2026,2026-11,11488,213481,0.8,91,1582095
08-11-2026,2026-11,8394,141756,3.2,104.1,1359001
09-11-2026,2026-11,10447,253833,9.5,98.7,1900000
10-11-2026,2026-11,8939,143332,9,102.9,1073640
11-11-2026,2026-11,8434,93728,4.8,95.7,1000000
12-11-2026,2026-11,10397,168457,9.4,100.9,1875534
13-11-2026,2026-11,10938,283239,2.4,102.5,1900000
14-11-2026,2026-11,9734,297317,6.8,97.3,1900000
15-11-2026,2026-11,10963,183813,10.5,99.7,1334924
16-11-2026,2026-11,8596,166427,6.2,98.1,1604198
17-11-2026,2026-11,8129,167508,10.5,93.2,1554811
18-11-2026,2026-11,9236,202662,3.2,99.4,1215763
19-11-2026,2026-11,10309,113078,10,98.1,1230497
20-11-2026,2026-11,10362,218675,0.9,104.4,1352613
21-11-2026,2026-11,9184,87064,5.2,95,1610228
22-11-2026,2026-11,11036,195880,11.8,95.3,1191026
23-11-2026,2026-11,10943,125418,0.4,96.8,1677492
24-11-2026,2026-11,7860,158567,8.1,92,1628809
25-11-2026,2026-11,11065,260971,3.5,97.1,1900000
26-11-2026,2026-11,11475,105935,1.3,98.1,1525584
27-11-2026,2026-11,8953,166608,2.4,104.9,1693401
28-11-2026,2026-11,7544,262736,9,94.9,1484981
29-11-2026,2026-11,7605,196307,11.3,104.6,1636913
30-11-2026,2026-11,7811,273889,1.6,96.1,1900000
01-12-2026,2026-12,11216,255004,1.6,101.6,1428537
02-12-2026,2026-12,8187,223645,8.1,100.3,1104417
03-12-2026,2026-12,7337,237309,9.3,93.5,1825404
04-12-2026,2026-12,8458,295713,8.3,102.8,1900000
05-12-2026,2026-12,8081,104349,11.8,98.3,1173143
06-12-2026,2026-12,9548,126207,2.4,91.5,1747223
07-12-2026,2026-12,9204,200223,3.2,102.4,1051982
08-12-2026,2026-12,10829,110148,11.8,105,1000000
09-12-2026,2026-12,10210,282230,1.3,97.3,1626591
10-12-2026,2026-12,11473,165261,6.9,101.4,1481770
11-12-2026,2026-12,10212,203558,10.2,104.5,1488278
12-12-2026,2026-12,9548,268103,6.5,100.9,1849861
13-12-2026,2026-12,10990,140968,8.5,97.8,1848261
14-12-2026,2026-12,11054,202458,3.3,95.3,1541352
15-12-2026,2026-12,9723,173250,8.3,96.1,1079716
16-12-2026,2026-12,10861,199011,3.4,94.8,1373852
17-12-2026,2026-12,10965,209664,7,94.1,1862988
18-12-2026,2026-12,8915,174546,3.6,98.3,1642740
19-12-2026,2026-12,9966,285210,6.4,90.7,1900000
20-12-2026,2026-12,8063,295847,2.7,96.3,1434131
21-12-2026,2026-12,7376,276892,5.6,101.1,1225796
22-12-2026,2026-12,8012,155456,7.4,95.9,1000000
23-12-2026,2026-12,9199,252165,10,101.8,1582920
24-12-2026,2026-12,7728,113466,2.5,96.8,1000000
25-12-2026,2026-12,7931,159233,2.9,96,1000000
26-12-2026,2026-12,11491,189586,5.2,99.5,1466497
27-12-2026,2026-12,7756,155845,10.9,97.7,1024499
28-12-2026,2026-12,10450,279030,3.1,102.9,1900000
29-12-2026,2026-12,11099,218270,3.3,94.8,1649235
30-12-2026,2026-12,7573,83254,1.8,104,1000000
31-12-2026,2026-12,7543,98339,3.5,96.9,1453158
01-01-2027,2027-01,10586,155590,9.3,97.2,1293255
02-01-2027,2027-01,10024,261765,11.8,99.3,1769261
03-01-2027,2027-01,8680,188373,1,96.5,1260794
04-01-2027,2027-01,8136,80124,11.1,90.2,1237587
05-01-2027,2027-01,8501,197404,8.5,100.9,1696556
06-01-2027,2027-01,7879,87379,11.3,104.4,1111808
07-01-2027,2027-01,11228,158399,1.1,99.1,1766002
08-01-2027,2027-01,10799,254618,9.6,102,1900000
09-01-2027,2027-01,8357,144807,6.9,90.8,1223714
10-01-2027,2027-01,10179,232695,9.7,98.4,1847682
11-01-2027,2027-01,10917,92679,4.7,98.7,1491757
12-01-2027,2027-01,7583,158713,4.5,97.4,1197529
13-01-2027,2027-01,8932,241668,5.3,96.2,1848913
14-01-2027,2027-01,10054,293797,6,103.4,1900000
15-01-2027,2027-01,7957,232240,2.4,101.6,1741999
16-01-2027,2027-01,7565,242290,0.9,102.6,1279045
17-01-2027,2027-01,11346,258501,3.7,98.6,1536341
18-01-2027,2027-01,7808,230874,10,99.7,1884470
19-01-2027,2027-01,8176,193902,5.7,102.5,1611995
20-01-2027,2027-01,10981,268547,8.1,91.5,1900000
21-01-2027,2027-01,10631,133354,3.2,104.9,1000000
22-01-2027,2027-01,9149,142594,9.4,96.7,1303983
23-01-2027,2027-01,9008,287253,0.2,97.2,1745990
24-01-2027,2027-01,7317,200354,8.3,100.3,1356638
25-01-2027,2027-01,10075,206980,6.3,104.3,1200105
26-01-2027,2027-01,8946,124158,0.2,101,1575970
27-01-2027,2027-01,9047,247662,10.9,96.9,1845179
28-01-2027,2027-01,10526,119339,7.9,104.9,1777264
29-01-2027,2027-01,11084,80788,2.9,93.1,1615854
30-01-2027,2027-01,10468,237615,1.3,98.2,1862083
31-01-2027,2027-01,9805,111753,0.3,95.3,1008908
01-02-2027,2027-02,7413,145429,1.2,95.6,1006918
02-02-2027,2027-02,11344,94069,0.1,101,1721382
03-02-2027,2027-02,10401,168149,9.9,102.8,1161103
04-02-2027,2027-02,8149,252309,9.5,98.6,1126074
05-02-2027,2027-02,10469,275457,7.3,90.7,1560933
06-02-2027,2027-02,8958,224639,4.1,103,1900000
07-02-2027,2027-02,8209,88147,11.5,100.7,1196956
08-02-2027,2027-02,10030,294420,9.6,95.3,1900000
09-02-2027,2027-02,10755,270520,4.7,97.3,1900000
10-02-2027,2027-02,8544,118101,7.8,96,1474521
11-02-2027,2027-02,7788,210645,3.7,91.9,1729668
12-02-2027,2027-02,11381,186821,4.2,98.5,1472946
13-02-2027,2027-02,8139,135377,1.1,90.5,1236701
14-02-2027,2027-02,9552,225928,2.8,94.9,1215197
15-02-2027,2027-02,11026,110208,6.5,102.9,1049943
16-02-2027,2027-02,9498,173132,8,97.2,1251919
17-02-2027,2027-02,9187,207535,3.4,101,1832238
18-02-2027,2027-02,9545,105269,4.4,103.2,1000000
19-02-2027,2027-02,8597,259686,2.2,90.5,1469497
20-02-2027,2027-02,8764,240810,8.6,98.3,1136883
21-02-2027,2027-02,10232,124121,7.4,92.3,1759543
22-02-2027,2027-02,10373,177712,11.8,93,1825213
23-02-2027,2027-02,10636,291369,4.2,103,1564625
24-02-2027,2027-02,8466,246851,5.9,96.2,1310192
25-02-2027,2027-02,10800,233248,1.8,96.7,1615617
26-02-2027,2027-02,10576,173868,10.3,103.7,1811867
27-02-2027,2027-02,8849,275261,8.5,104.6,1277084
28-02-2027,2027-02,8134,212670,3.7,100.8,1435522
01-03-2027,2027-03,7985,128078,9.6,93.8,1278238
02-03-2027,2027-03,7515,194248,10.8,102.1,1658810
03-03-2027,2027-03,7292,205490,4.5,92.9,1418362
04-03-2027,2027-03,9639,123804,5.6,102.9,1141424
05-03-2027,2027-03,9913,194457,0.3,96.9,1129208
06-03-2027,2027-03,10165,91464,1.4,93.6,1675696
07-03-2027,2027-03,8030,114414,2.5,104,1000000
08-03-2027,2027-03,8135,276324,1,103.3,1170503
09-03-2027,2027-03,8515,134820,11.9,96.6,1000000
10-03-2027,2027-03,9959,142755,5.5,96.8,1329736
